kind,k,seed,total_structure_proxy,target_alignment,tre_proxy,transfer_accuracy
random,4,102640,0.4820575800055982,0.07310670370646734,0.03524164067092594,0.5405
irrelevant_high,4,102641,22.217768795399596,0.00017970935125181145,0.003992740816484002,0.50825
relevant_mid,4,102642,7.324596375560585,0.9964276602268024,7.298430428605551,0.8205
mixed_budget_limited,4,102643,20.752086686239906,0.0006357929063299135,0.013194029506654773,0.5015
relevant_high,4,102644,24.49342109179541,0.9996105213166574,24.48388142639802,0.82275
random,12,102720,0.9507064883099716,0.3443595541922275,0.32738486248208,0.6215
irrelevant_high,12,102721,41.98053485724342,0.09012341254231056,3.783429061686197,0.5265
relevant_mid,12,102722,7.3458572454472,0.9975059649045372,7.327536419670795,0.774
mixed_budget_limited,12,102723,40.40621599810557,0.9982556871827084,40.33573491764182,0.74075
relevant_high,12,102724,24.4798382166668,0.9992720460511451,24.462018021769648,0.6815
random,4,102740,0.4768730845752036,0.21458604808221737,0.10233031065576996,0.58025
irrelevant_high,4,102741,21.912537099954097,0.00012530969311811202,0.0027458532994344923,0.51375
relevant_mid,4,102742,7.148077856775048,0.9982262894626327,7.135399235758564,0.815
mixed_budget_limited,4,102743,21.02663594104594,0.00029448451990473295,0.006192018790310516,0.49175
relevant_high,4,102744,24.378261987781663,0.9990912093309933,24.356107250760566,0.815
random,12,102820,0.9338290426790556,0.42807993328191235,0.3997534742867622,0.5835
irrelevant_high,12,102821,42.25580912878218,0.20258975247106076,8.560593911864371,0.53525
relevant_mid,12,102822,7.013795068604098,0.9984872727113738,7.0031851094069895,0.78775
mixed_budget_limited,12,102823,40.10774980777867,0.996857878862931,39.98172639934737,0.7825
relevant_high,12,102824,24.422253485921104,0.9993162985887303,24.405555956746394,0.781
random,4,102840,0.4471227086428744,0.14512532295386993,0.06488882749180623,0.57425
irrelevant_high,4,102841,22.35398344071547,0.000190926595852235,0.004267969962073036,0.497
relevant_mid,4,102842,7.163926110404418,0.9964886732104843,7.138771224734844,0.75775
mixed_budget_limited,4,102843,20.995516527817397,0.0008682771835246619,0.01822992795741878,0.49575
relevant_high,4,102844,24.40855797697761,0.9991175319009783,24.387018203219807,0.759
random,12,102920,0.9305908756729862,0.33029472782292374,0.3073692599949052,0.57525
irrelevant_high,12,102921,41.86113212222038,0.17984734075042078,7.528613292983354,0.51875
relevant_mid,12,102922,7.0906314478610515,0.998102728289513,7.077178593405535,0.707
mixed_budget_limited,12,102923,40.34698681416507,0.9987201509225211,40.29534876031191,0.73875
relevant_high,12,102924,23.981747482414068,0.9995636062189421,23.97128199695384,0.7105
random,4,102940,0.45900818246726405,0.03305690613235352,0.015173390401802545,0.5365
irrelevant_high,4,102941,21.93745208605314,7.412754016602194e-05,0.001626169360649086,0.50175
